DATE,DJIA
2013-09-01,14810.31
2013-09-08,14922.50
2013-09-15,15376.06
2013-09-22,15451.09
2013-09-29,15258.24
2013-10-06,15072.58
2013-10-13,15237.11
2013-10-20,15399.65
2013-10-27,15570.28
2013-11-03,15615.55
2013-11-10,15761.78
2013-11-17,15961.70
2013-11-24,16064.77
2013-12-01,16086.41
2013-12-08,16020.20
2013-12-15,15755.36
2013-12-22,16221.14
2013-12-29,16478.41
2014-01-05,16469.99
2014-01-12,16437.05
2014-01-19,16458.56
2014-01-26,15879.11
2014-02-02,15698.85
2014-02-09,15794.08
2014-02-16,16154.39
2014-02-23,16103.30
2014-03-02,16321.71
2014-03-09,16452.72
2014-03-16,16065.67
2014-03-23,16302.77
2014-03-30,16323.06
2014-04-06,16412.71
2014-04-13,16026.75
2014-04-20,16408.54
2014-04-27,16361.46
2014-05-04,16512.89
2014-05-11,16583.34
2014-05-18,16491.31
2014-05-25,16606.27
2014-06-01,16717.17
2014-06-08,16924.28
2014-06-15,16775.74
2014-06-22,16947.08
2014-06-29,16851.84
2014-07-06,17068.26
2014-07-13,16943.81
2014-07-20,17100.18
2014-07-27,16960.57
2014-08-03,16493.37
2014-08-10,16553.93
2014-08-17,16662.91
2014-08-24,17001.22
2014-08-31,17098.45
2014-09-07,17137.36
2014-09-14,16987.51
2014-09-21,17279.74
2014-09-28,17113.15
2014-10-05,17009.69
2014-10-12,16544.10
2014-10-19,16380.41
2014-10-26,16805.41
2014-11-02,17390.52
2014-11-09,17573.93
2014-11-16,17634.74
2014-11-23,17810.06
2014-11-30,17828.24
2014-12-07,17958.79
2014-12-14,17280.83
2014-12-21,17804.80
2014-12-28,18053.71
2015-01-04,17832.99
2015-01-11,17737.37
2015-01-18,17511.57
2015-01-25,17672.60
2015-02-01,17164.95
2015-02-08,17824.29
2015-02-15,18019.35
2015-02-22,18140.44
2015-03-01,18132.70
2015-03-08,17856.78
2015-03-15,17749.31
2015-03-22,18127.65
2015-03-29,17712.66
2015-04-05,17763.24
2015-04-12,18057.65
2015-04-19,17826.30
2015-04-26,18080.14
2015-05-03,18024.06
2015-05-10,18191.11
2015-05-17,18272.56
2015-05-24,18232.02
2015-05-31,18010.68
2015-06-07,17849.46
2015-06-14,17898.84
2015-06-21,18015.95
2015-06-28,17946.68
2015-07-05,17730.11
2015-07-12,17760.41
2015-07-19,18086.45
2015-07-26,17568.53
2015-08-02,17689.86
2015-08-09,17373.38
2015-08-16,17477.40
2015-08-23,16459.75
2015-08-30,16643.01
2015-09-06,16102.38
2015-09-13,16433.09
2015-09-20,16384.58
2015-09-27,16314.67
2015-10-04,16472.37
2015-10-11,17084.49
2015-10-18,17215.97
2015-10-25,17646.70
2015-11-01,17663.54
2015-11-08,17910.33
2015-11-15,17245.24
2015-11-22,17823.81
2015-11-29,17798.49
2015-12-06,17847.63
2015-12-13,17265.21
2015-12-20,17128.55
2015-12-27,17552.17
2016-01-03,17425.03
2016-01-10,16346.45
2016-01-17,15988.08
2016-01-24,16093.51
2016-01-31,16466.30
2016-02-07,16204.97
2016-02-14,15973.84
2016-02-21,16391.99
2016-02-28,16639.97
2016-03-06,17006.77
2016-03-13,17213.31
2016-03-20,17602.30
2016-03-27,17515.73
2016-04-03,17792.75
2016-04-10,17576.96
2016-04-17,17897.46
2016-04-24,18003.75
2016-05-01,17773.64
2016-05-08,17740.63
2016-05-15,17535.32
2016-05-22,17500.94
2016-05-29,17873.22
2016-06-05,17807.06
2016-06-12,17865.34
2016-06-19,17675.16
2016-06-26,17400.75
2016-07-03,17949.37
2016-07-10,18146.74
2016-07-17,18516.55
2016-07-24,18570.85
2016-07-31,18432.24
2016-08-07,18543.53
2016-08-14,18576.47
2016-08-21,18552.57
2016-08-28,18395.40
2016-09-04,18491.96
2016-09-11,18085.45
2016-09-18,18123.80
2016-09-25,18261.45
2016-10-02,18308.15
2016-10-09,18240.49
2016-10-16,18138.38
2016-10-23,18145.71
2016-10-30,18161.19
2016-11-06,17888.28
2016-11-13,18847.66
2016-11-20,18867.93
2016-11-27,19152.14
2016-12-04,19170.42
2016-12-11,19756.85
2016-12-18,19843.41
2016-12-25,19933.81
2017-01-01,19762.60
2017-01-08,19963.80
2017-01-15,19885.73
2017-01-22,19827.25
2017-01-29,20093.78
2017-02-05,20071.46
2017-02-12,20269.37
2017-02-19,20624.05
2017-02-26,20821.76
2017-03-05,21005.71
2017-03-12,20902.98
2017-03-19,20914.62
2017-03-26,20596.72
2017-04-02,20663.22
2017-04-09,20656.10
2017-04-16,20453.25
2017-04-23,20547.76
2017-04-30,20940.51
2017-05-07,21006.94
2017-05-14,20896.61
2017-05-21,20804.84
2017-05-28,21080.28
2017-06-04,21206.29
2017-06-11,21271.97
2017-06-18,21384.28
2017-06-25,21394.76
2017-07-02,21349.63
2017-07-09,21414.34
2017-07-16,21637.74
2017-07-23,21580.07
2017-07-30,21830.31
2017-08-06,22092.81
2017-08-13,21858.32
2017-08-20,21674.51
2017-08-27,21813.67
2017-09-03,21987.56
2017-09-10,21797.79
2017-09-17,22268.34
2017-09-24,22349.59
2017-10-01,22405.09
2017-10-08,22773.67
2017-10-15,22871.72
2017-10-22,23328.63
2017-10-29,23434.19
2017-11-05,23539.19
2017-11-12,23422.21
2017-11-19,23358.24
2017-11-26,23557.99
2017-12-03,24231.59
2017-12-10,24329.16
2017-12-17,24651.74
2017-12-24,24754.06
2017-12-31,24719.22
2018-01-07,25295.87
2018-01-14,25803.19
2018-01-21,26071.72
2018-01-28,26616.71
2018-02-04,25520.96
2018-02-11,24190.90
2018-02-18,25219.38
2018-02-25,25309.99
2018-03-04,24538.06
2018-03-11,25335.74
2018-03-18,24946.51
2018-03-25,23533.20
2018-04-01,24103.11
2018-04-08,23932.76
2018-04-15,24360.14
2018-04-22,24462.94
2018-04-29,24311.19
2018-05-06,24262.51
2018-05-13,24831.17
2018-05-20,24715.09
2018-05-27,24753.09
2018-06-03,24635.21
2018-06-10,25316.53
2018-06-17,25090.48
2018-06-24,24580.89
2018-07-01,24271.41
2018-07-08,24456.48
2018-07-15,25019.41
2018-07-22,25058.12
2018-07-29,25451.06
2018-08-05,25462.58
2018-08-12,25313.14
2018-08-19,25669.32
2018-08-26,25790.35
2018-09-02,25964.82
2018-09-09,25916.54
2018-09-16,26154.67
2018-09-23,26743.50
2018-09-30,26458.31
2018-10-07,26447.05
2018-10-14,25339.99
2018-10-21,25444.34
2018-10-28,24688.31
2018-11-04,25270.83
2018-11-11,25989.30
2018-11-18,25413.22
2018-11-25,24285.95
2018-12-02,25538.46
2018-12-09,24388.95
2018-12-16,24100.51
2018-12-23,22445.37
2018-12-30,23062.40
2019-01-06,23433.16
2019-01-13,23995.95
2019-01-20,24706.35
2019-01-27,24737.20
2019-02-03,25063.89
2019-02-10,25106.33
2019-02-17,25883.25
2019-02-24,26031.81
2019-03-03,26026.32
2019-03-10,25450.24
2019-03-17,25848.87
2019-03-24,25502.32
2019-03-31,25928.68
2019-04-07,26424.99
2019-04-14,26412.30
2019-04-21,26559.54
2019-04-28,26543.33
2019-05-05,26504.95
2019-05-12,25942.37
2019-05-19,25764.00
2019-05-26,25585.69
2019-06-02,24815.04
2019-06-09,25983.94
2019-06-16,26089.61
2019-06-23,26719.13
2019-06-30,26599.96
2019-07-07,26922.12
2019-07-14,27332.03
2019-07-21,27154.20
2019-07-28,27192.45
2019-08-04,26485.01
2019-08-11,26287.44
2019-08-18,25886.01
2019-08-25,25628.90
2019-09-01,26403.28
2019-09-08,26797.46
2019-09-15,27219.52
2019-09-22,26935.07
2019-09-29,26820.25
2019-10-06,26573.72
2019-10-13,26816.59
2019-10-20,26770.20
2019-10-27,26958.06
2019-11-03,27347.36
2019-11-10,27681.24
2019-11-17,28004.89
2019-11-24,27875.62
2019-12-01,28051.41
2019-12-08,28015.06
2019-12-15,28135.38
2019-12-22,28455.09
2019-12-29,28645.26
2020-01-05,28634.88
2020-01-12,28823.77
2020-01-19,29348.10
2020-01-26,28989.73
2020-02-02,28256.03
2020-02-09,29102.51
2020-02-16,29398.08
2020-02-23,28992.41
2020-03-01,25409.36
2020-03-08,25864.78
2020-03-15,23185.62
2020-03-22,19173.98
2020-03-29,21636.78
2020-04-05,21052.53
2020-04-12,23719.37
2020-04-19,24242.49
2020-04-26,23775.27
2020-05-03,23723.69
2020-05-10,24331.32
2020-05-17,23685.42
2020-05-24,24465.16
2020-05-31,25383.11
2020-06-07,27110.98
2020-06-14,25605.54
2020-06-21,25871.46
2020-06-28,25015.55
2020-07-05,25827.36
2020-07-12,26075.30
2020-07-19,26671.95
2020-07-26,26469.89
2020-08-02,26428.32
2020-08-09,27433.48
2020-08-16,27931.02
2020-08-23,27930.33
2020-08-30,28653.87
2020-09-06,28133.31
2020-09-13,27665.64
2020-09-20,27657.42
2020-09-27,27173.96
2020-10-04,27682.81
2020-10-11,28586.90
2020-10-18,28606.31
2020-10-25,28335.57
2020-11-01,26501.60
2020-11-08,28323.40
2020-11-15,29479.81
2020-11-22,29263.48
2020-11-29,29910.37
2020-12-06,30218.26
2020-12-13,30046.37
2020-12-20,30179.05
2020-12-27,30199.87
2021-01-03,30606.48
2021-01-10,31097.97
2021-01-17,30814.26
2021-01-24,30996.98
2021-01-31,29982.62
2021-02-07,31148.24
2021-02-14,31458.40
2021-02-21,31494.32
2021-02-28,30932.37
2021-03-07,31496.30
2021-03-14,32778.64
2021-03-21,32627.97
2021-03-28,33072.88
2021-04-04,33153.21
2021-04-11,33800.60
2021-04-18,34200.67
2021-04-25,34043.49
2021-05-02,33874.85
2021-05-09,34777.76
2021-05-16,34382.13
2021-05-23,34207.84
2021-05-30,34529.45
2021-06-06,34756.39
2021-06-13,34479.60
2021-06-20,33290.08
2021-06-27,34433.84
2021-07-04,34786.35
2021-07-11,34870.16
2021-07-18,34687.85
2021-07-25,35061.55
2021-08-01,34935.47
2021-08-08,35208.51
2021-08-15,35515.38
2021-08-22,35120.08
2021-08-29,35455.80
2021-09-05,35369.09
2021-09-12,34607.72
2021-09-19,34584.88
2021-09-26,34798.00
2021-10-03,34326.46
2021-10-10,34746.25
2021-10-17,35294.76
2021-10-24,35677.02
2021-10-31,35819.56
2021-11-07,36327.95
2021-11-14,36100.31
2021-11-21,35601.98
2021-11-28,34899.34
2021-12-05,34580.08
2021-12-12,35970.99
2021-12-19,35365.44
2021-12-26,35950.56
2022-01-02,36338.30
2022-01-09,36231.66
2022-01-16,35911.81
2022-01-23,34265.37
2022-01-30,34725.47
2022-02-06,35089.74
2022-02-13,34738.06
2022-02-20,34079.18
2022-02-27,34058.75
2022-03-06,33614.80
2022-03-13,32944.19
2022-03-20,34754.93
2022-03-27,34861.24
2022-04-03,34818.27
2022-04-10,34721.12
2022-04-17,34451.23
2022-04-24,33811.40
2022-05-01,32977.21
2022-05-08,32899.37
2022-05-15,32196.66
2022-05-22,31261.90
2022-05-29,33212.96
2022-06-05,32899.70
2022-06-12,31392.79
2022-06-19,29888.78
2022-06-26,31500.68
2022-07-03,31097.26
2022-07-10,31338.15
2022-07-17,31288.26
2022-07-24,31899.29
2022-07-31,32845.13
2022-08-07,32803.47
2022-08-14,33761.05
2022-08-21,33706.74
2022-08-28,32283.40
2022-09-04,31318.44
2022-09-11,32151.71
2022-09-18,30822.42
2022-09-25,29590.41
2022-10-02,28725.51
2022-10-09,29296.79
2022-10-16,29634.83
2022-10-23,31082.56
2022-10-30,32861.80
2022-11-06,32403.22
2022-11-13,33747.86
2022-11-20,33745.69
2022-11-27,34347.03
2022-12-04,34429.88
2022-12-11,33476.46
2022-12-18,32920.46
2022-12-25,33203.93
2023-01-01,33147.25
2023-01-08,33630.61
2023-01-15,34302.61
2023-01-22,33375.49
2023-01-29,33978.08
2023-02-05,33926.01
2023-02-12,33869.27
2023-02-19,33826.69
2023-02-26,32816.92
2023-03-05,33390.97
2023-03-12,31909.64
2023-03-19,31861.98
2023-03-26,32237.53
2023-04-02,33274.15
2023-04-09,33485.29
2023-04-16,33886.47
2023-04-23,33808.96
2023-04-30,34098.16
2023-05-07,33674.38
2023-05-14,33300.62
2023-05-21,33426.63
2023-05-28,33093.34
2023-06-04,33762.76
2023-06-11,33876.78
2023-06-18,34299.12
2023-06-25,33727.43
2023-07-02,34407.60
2023-07-09,33734.88
2023-07-16,34509.03
2023-07-23,35227.69
2023-07-30,35459.29
2023-08-06,35065.62
2023-08-13,35281.40
2023-08-20,34500.66
2023-08-27,34099.42
